Job Description Name,Position Summary,Education,Work Experience,Essential Functions,Licenses and Certifications,"Knowledge, Skills and Abilities"
Elementary Principal (2204),"*The school administrator provides instructional leadership, ensures curriculum alignment, and supports effective teaching practices for students PreK�5, including Special Education. This role oversees staff supervision, student conduct, and school operations while fostering strong communication with families and community stakeholders. The administrator also ensures compliance with district policies and actively contributes to district initiatives and staff development.",Master’s Degree or higher in Administration or Educational Leadership.,"Minimum of three years building administrative experience.
Five years successful teaching experience.","Demonstrates understanding of instructional best practices, alignment to curriculum and intervention contexts differentiating the learning styles of students, PreK-5 including Special Education programs.
Demonstrates that quality of instruction is the highest educational priority, and demonstrates knowledge of effective teaching techniques.       
Demonstrates knowledge of curriculum trends and awareness of curriculum needs
Monitors, assists, and supports curriculum implementation.
Supervises the maintenance of accurate records including state mandated reports and reports to parents on the educational progress and attendance of students.
Seeks and recommends the best-qualified candidates for staff positions, and provides orientation and support for new staff.
Uses a systematic program of visitation, evaluation, and conferencing to provide clear and consistent direction for all staff.
Assists students in developing responsibility for their conduct, and promotes students’ respect for the rights, properties, and opinions of others.
Cooperatively monitors the safety and administration of the school and responds to emergency situations requiring first aid, etc.
Leads in the development, supervision, and evaluation of instructional and staff development programs within his/her school.
Acquaints self personally with, and maintains engaged relationships and communications with students, staff and parent community.
Acts as a liaison between the school and the community, encouraging community participation in school activities.
Develops and utilizes procedures used in reporting to the community and maintains effective communication with all stakeholders.    
Interprets and enforces District policies and administrative regulations positively and with conviction.
Supports various members of the central administrating staff in addressing District problems such as instruction, transportation, special services.
Actively participates in principals’ meetings and such other meetings as may be required.
Promotes and supports staff initiative, innovation, and self-improvement.
Secures appropriate involvement of students, staff, and community regarding curricular and/or instructional objectives.
Schedules and supervises appropriate use of the facilities and equipment by the staff and community.
Serves on committees and ad hoc assignments to further District initiatives as requested by District administration 
Performs other duties as assigned by the Deputy Superintendent.","Valid State of Michigan teaching certificate, preferably in Elementary Education.
Must have or be eligible to obtain appropriate valid Administrative Certification.","Demonstrate and models professional demeanor, resourcefulness and effective communication strategies with diverse groups.
Strong knowledge base in cultural proficiency strategies and best practices.
Demonstrated ability to provide quality leadership through:
Excellent communication skills
Strong problem solving skills
Ability to use a variety of leadership styles
Ability to plan, organize and execute the full range of administrative tasks
Skill in creating an open and well-organized teaching and learning environment
Fostering the continued growth of staff members"
High School English Teacher,"Under general supervision, plans, organizes and presents instruction and instructional environments which help students learn subject matter and skills that will contribute to their educational and social development.",Bachelor’s degree including all courses to meet credential requirements. ,,"rovides learning experiences and teaches the course of study prescribed by the District approved curriculum. 
Develops and uses instructional materials suitable for verbal and/or visual instruction of students with a wide range of mental, physical and emotional maturity.
Provides individual and group instruction designed to meet individual needs and motivate students.
Establishes and maintains standards of student control required to achieve effective participation in all activities.
Evaluates academic and social growth of students and keeps appropriate records.
Provides appropriate instruction and activities for students to meet school/district policies, goals, and objectives.
Communicates with parents through a variety of means.
Holds parent conferences to discuss the individual student’s progress and interprets the school program.
Identifies student needs and cooperates with other professional staff members in assessing and helping students solve health, attitude and learning problems.
Creates an effective environment for learning through functional and attractive displays such as bulletin boards, interest centers, etc.
Maintains professional competence through in-service education activities provided by the district and/or professional growth activities and university courses.
Participates cooperatively with the appropriate administrator to develop the method by which s/he will be evaluated in conformance with district guidelines.
Selects and requisitions instructional materials; maintains inventory records.
Cooperates in school-wide supervision of students during out-of-classroom activities.
Participates in faculty and/or district committees and the sponsorship of student activities.
Performs other related work as required.",Valid North Carolina license in the grade levels and areas assigned. ,"Ability to manage instructional time.
Ability to manage student behavior.
Ability to consult with parents, teachers and the community to enhance the learning of students.
Ability to monitor student performance.
Ability to interact within the educational environment.
Ability to perform non-instructional duties as assigned.
Must be able to use a variety of equipment and classroom tools such as computers, copiers, calculators, pencils, scissors, equipment for children, etc.  Must be able to exert a negligible amount of force frequently or constantly to lift, carry, push, pull or otherwise move objects.
Requires the ability to compare and/or judge the readily observable, functional, structural, or composite characteristics of data, people or things.
Requires the ability to speak and/or signal people to convey or exchange information.  Includes receiving instructions, assignments and/or directions from superiors.
Requires the ability to ready a variety of correspondence, reports, handbooks, forms, lists, etc.  Requires the ability to prepare correspondence, simple reports, forms, instructional materials, etc. using prescribed format.
Requires the ability to apply principles of logical or scientific thinking to define problems, collect data, establish facts, and draw valid conclusions; to interpret an extensive variety of technical instructions in mathematical or diagrammatic form; and to deal with several abstract and concrete variables.
Requires the ability to record and deliver information, to explain procedures, to follow oral and written instructions.  Must be able to communicate effectively and efficiently in a variety of technical or professional languages including medical, legal and counseling terminology.
Requires the ability to deal with people beyond giving and receiving instructions.  Must be adaptable to performing under stress and when confronted with emergency situations."
EC Preschool Teacher,"Under general supervision creates an inviting, learning environment, which fosters personal growth of educationally disadvantaged children; to nurture those attitudes, skills, and knowledge necessary for future successes in school; to build string ties between home and school; to establish good relationships with parents and other staff members.",BS in Birth to Kindergarten. ,,"Provides an inviting learning environment following the Creative Curriculum, Foundations, Guide to the Early Years and other state and local curriculum documents.
Develops and implements daily lesson plans reflecting the needs of individual students and curriculum goals.
Assesses student progress by recording daily anecdotal records and by determining expected growth as stated in the curriculum goals.
Provides appropriate materials and experiences which address the social, physical, emotional, and intellectual needs of each student.
Enriches the educational program by participating in local field trips and encouraging classroom visits from various school and community persons.
Previews and selects appropriate instructional supplies.
Provides a child-centered environment which has attractive displays, interest centers and exhibits of students' work.
Plans and coordinates the work of the teacher assistant, parents, and classroom volunteers in daily activities and/or special events.
Develops activities which promote strong home/school relations.
Communicates regularly with parents through individual parent conferences, home visits, journals, phone calls, etc.
Works closely with other community agencies (DSS, mental health, court system, churches, Smart Start) to provide extra help for students.
Assists with screening process of students for possible Pre-K participation/enrollment.
Participates in professional development opportunities dealing with curriculum and current early childhood issues.
Maintains accurate, complete and correct records as required by law, district policy and administrative regulations.
    MINIMUM TRAINING",Must be B-K licensed in North Carolina.,"Must be physically able to operate a variety of automated office machines including computers, calculators, printers, copiers, etc.  Must be able to exert up to 10 pounds of force occasionally and/or a negligible amount of force frequently or constantly to lift, carry, push, pull or otherwise move objects.  Sedentary work involves sitting most of the time, but may involve walking or standing for periods of time.
Requires the ability to compare and/or judge the readily observable, functional, structural, or composite characteristics of data, people or things.
Requires the ability to speak and/or signal people to convey or exchange information.  Requires the ability to read correspondence, invoices, purchase orders, accounting journals, travel reports, checks, etc.  Requires the ability to prepare correspondence, reports, vendor payment packets, etc. using proper format.
Ability to apply common sense understanding to carry out instructions furnished in written or oral form to deal with problems involving several concrete variables in or from standardized situations.
Ability to present material to individuals and groups of people.
Ability to maintain accurate and complete records and files.
Ability to type accurately at a moderate rate.
Ability to use common spreadsheet, word processing and file maintenance programs.
Ability to follow both oral and written instructions.
Ability to work alone, focused to complete assigned duties on a daily basis and whenever other areas need immediate short-term assistance."
Executive Assistant to the Head of School,"The assistant to the head of school is a full-time, 8:00 a.m. to 4:00 p.m. 12-month position with occasional evening commitments and weekend hours.The executive assistant to the head of school reports to the head of school and supports the head’s leadership role, and performs administrative and operational tasks to maintain an effective and well-organized office.",,A minimum of five years of experience in office administration (experience as an executive assistant preferred).,"Provides direct support to the administrative leadership team and board of trustees to maintain and enhance a positive, mission-driven and student-centered school culture.
- Provides oversight of the office staff.
- Understands and promotes the standards and policies of the School.
- Embodies and communicates the School’s mission and core values, and mirrors the head’s principles of good practice.
- Supports the head’s daily operations of the School, short and long-term goals, special events, and institutional projects.
-All scheduling/administrative duties to support the head of school.
- Setting and maintaining a calm tone in a fast-paced environment.
- Is accessible, approachable, and welcoming.
- Fosters a partnership among employees to create a positive environment for students’ academic and social-emotional learning.
- Respects, affirms and protects the dignity and worth of each member of the community, and exhibits moral and ethical behavior.
- Consistently maintains confidentiality and manages sensitive information with discretion, respect, and sensitivity.
- Sets professional boundaries, collaborating with constituents within those boundaries.
- Assists with various aspects of employee recruitment.
- Takes an active part in the full life of the School.
- Demonstrates a commitment to lifelong learning and consistent improvement to maintain high standards of performance.",,"Excellent administrative, organizational, and time management skills.
- Excellent interpersonal, communication and proofreading skills.
- Experience with Google G Suite for Education.
- Ability to work independently as well as with a team."
School Counselor- High School Level,"Facilitate learning success by assisting learners in setting educational, career, personal and social goals while also proactively engaging with teachers and other support opportunities to ensure learner success.",,,,,"Collaboration, strong communication and organizational skills, and flexibility to support all aspects of learning are essential traits for the successful applicant. Applicants familiar with scheduling, college and career counseling, and web-based data systems are also preferred"
"2025-26 Industrial Technology Teacher, Oak Park High School","The classroom teacher designs and delivers instruction that meets the diverse needs of students, fosters a positive learning environment, and aligns with district curriculum and goals. This role manages classroom behavior, assesses student progress, maintains required records, and collaborates with colleagues, families, and specialists to support student success. The teacher also upholds district policies, engages in professional growth, and contributes to school-wide initiatives.*",,,"To perform this job successfully, an individual must be able to perform each essential duty satisfactorily.  The requirements listed below are representative of the knowledge, skills and abilities required.  Reasonable accommodations may be made to enable individuals with disabilities to perform essential functions.
Meets and instructs assigned classes in the locations and at the times designated.
Plans a program of study that, as much as possible, meets the individual needs, interests, and abilities of the students.
Creates a classroom environment that is conducive to learning and appropriate to the maturity and interests of the students.
Prepares for classes assigned and shows written evidence of preparation upon request of immediate superior.
Encourages students to set and maintain standards of classroom behavior.
Guides the learning process toward the achievement of curriculum goals and, in harmony with the goals, establishes clear objectives for all lessons, units, and projects to communicate these objectives to students.
Employs a variety of instructional techniques and instructional media, consistent with the physical limitations of the location provided and the needs and capabilities of the individuals or student groups involved.
Strives to implement by instruction and action the district's philosophy of education and instructional goals and objectives.
Assesses the accomplishments of students on a regular basis and provides progress reports as required.
Confers with and seeks assistance of district specialists regarding possible learning disabilities of student.
Takes all necessary and reasonable precautions to protect students, equipment, materials, and facilities.
Maintains accurate, complete, and correct records as required by law, district policy, and administrative regulation.
Assists the administration in implementing all policies and rules governing student life and conduct, and, for the classroom, develops reasonable rules of classroom behavior and procedure, and maintains order in the classroom in a fair and just manner.
Makes provision for being available to students and parents for education-related purposes outside the instructional day when required or requested to do so under reasonable terms.
Plans and supervises purposeful assignments for teacher aide(s) and volunteer(s) and, cooperatively with department heads.
Strives to maintain and improve professional competence.
Attends staff meetings and serves on staff committees as required.
Works with designated team to plan and determine appropriate steps to meet student needs.
Demonstrates effective human relations and communication skills.
Complies with good safety practices.
Complies with all district rules, regulations, and policies.
Other duties/responsibilities deemed necessary may be assigned.",Valid Missouri Teacher Certificate,This individual must be able to travel between district facilities. The position requires a moderate amount of travel and physical activity.
Middle School Principal,"Provides instructional leadership to staff including, but not limited to:  curriculum development, review, implementation, and professional development.  The principal is responsible for building administration and the safety and welfare of both students and staff.  Ensures a safe, pleasant, and effective educational atmosphere provides discipline as necessary and enforces school policy.",,"Five years of teaching experience
Five years of administrative or supervisory experience is preferred.","Coordinate and supervise all activities and programs conducted at the building level.
Maintains confidentiality, and unquestionable integrity.
Evaluate the performance of all staff and provide opportunities for improvement.
Maintain responsibility for maintenance and proper utilization of facilities.
Be responsible for the overall achievement, safety, welfare, and conduct of students within the building.
Supervises extracurricular activities.
Develop the master teaching schedule.
Ability to establish and maintain effective working relationships with other administrators, employees, parents, members of the community, and outside agencies.
Ability to promote and maintain strong parental and community involvement.
Experience in implementing the principles and current trends in curriculum, staff development, essential elements of instruction, and clinical supervision.
Possess qualities in shared decision-making skills and interdisciplinary teams.
Ability to lead staff toward instructional improvement and conduct staff development sessions.
Ability to prepare the school budget in cooperation with the Superintendent of Schools.
Maintains current educational/administrative certification.
Also desired are
A background in the appropriate level of the organization (elementary, middle, high).
Ability to evaluate the instructional process.
Commitment to innovation and creativity.
Experience with a diverse student population.
Knowledge and prior application or experience in improving academic achievement.
Direct supervision of any employee assigned to his/her building.
Responsible for the overall direction, coordination, and evaluation of his/her building.
Carries out supervisory responsibilities in accordance with Board policies and applicable laws.
Interviewing, hiring, and training employees; planning, assigning, and directing work.
Appraising performance.
Rewarding and disciplining employees.
Addressing complaints and resolving problems",Certification for the Principalship through the Missouri Department of Elementary and Secondary Education (DESE) with correct building endorsement.," COMMUNICATION SKILLS:
Ability to read, analyze, and interpret general business periodicals, professional journals, technical procedures, or governmental regulations.
Ability to write reports, business correspondence, and procedure manuals.
Ability to effectively present information and respond to questions from groups of administrators, staff, and the general public.
  MATHEMATICAL SKILLS:
Ability to apply the concepts of basic math, algebra, and geometry consistent with the duties of this position.
Ability to calculate figures and amounts such as discounts, interest, commissions, proportions, percentages, area, circumference, and volume.  
  REASONING ABILITY:
Ability to define problems, collect data, establish facts, and draw valid conclusions.
Ability to solve practical problems and deal with a variety of concrete variables in situations where only limited standardization exists.
Ability to interpret an extensive variety of technical instructions in mathematical, written, oral, diagram, or schedule form.
  TECHNOLOGY:
Competent with computer skills, including web browsing, email, word processing, Google platform, and the student information system.  
Must have the ability to learn and utilize new software programs as systems are upgraded.
Utilize smart boards, projectors, copy machines, faxes, and other technology provided by the district.
  OTHER SKILLS AND ABILITIES:
Ability to apply knowledge of current research and theory in specific fields.  
Ability to communicate clearly and concisely in written and oral form.
Ability to establish and maintain effective working relationships with students, parents, staff, and the community.
Ability to perform all duties in full compliance with all district requirements and Board policies."
Academic Specialist: 12 Month (STEM/BMAH High School Magnet),"Acts as a strategic collaborative member of the Academic team in support of the AACPS Strategic plan throughout the entire school year. The role encompasses all aspects of curriculum, instruction, assessment, professional learning for all stakeholders, analysis of data, and planning and execution of county wide events to ensuring a positive impact on the achievement of all learners. Provides direct support and assistance to schools to ensure instruction is aligned to best practices for all students.","Master's Degree in applicable field of education from a regionally accredited college or university required;
Or an equivalent combination of education and experience which provides the required knowledge, skills, and abilities deemed sufficient to prepare the applicant to successfully perform the duties of the position.","Four (4) years successful classroom teaching experience required.
One (1) year experience as a school based teacher leader preferred.
One (1) year experience providing professional development to adult learners preferred.
Or an equivalent combination of education and experience which provides the required knowledge, skills, and abilities deemed sufficient to prepare the applicant to successfully perform the duties of the position.","Acts as a strategic and collaborative member of the Academic team to communicate Anne Arundel County Public Schools' philosophy, goals, and expectations of curriculum, instruction, and assessment to school staff and the community.
Assists teachers and school-based administration with implementation and ongoing enhancement of a comprehensive academic program which engages students in relevant and rigorous coursework aligned to the Maryland State Department of Education Standards.
Works with school leadership and school teams facilitating collaborative and instructional planning to enhance teacher capacity with curriculum and instruction; enhances communication between school and the office.
Visits schools to observe instructional practices and curriculum implementation, provides targeted feedback and assists with data driven decisions about planning.
Leads professional development initiatives for individual teachers and school teams at school and district level meetings to model best instructional practices based on the standards and create a student-centered learning environment.
Supports the Coordinator in all aspects of the curriculum writing and assessment development process as well as the materials of instruction evaluation process, including serving as a curriculum lead writer; monitors process and facilitates all sub-group curriculum writing teams; provides feedback to team members on the curriculum writing progress; and develops professional staff development relative to the curriculum documents being developed.
Stays current and models best practices of new ideas, programs, and trends in the field.
Collaborates with other offices and programs to ensure quality content curricula and teacher professional development.
Serves on committees, councils, and representative bodies to include but not limited to professional, civic, and interagency groups who partner with AACPS and the Board of Education.
Facilitates and participates in evening and summer meetings and workshops; plans and executes logistics related to countywide sponsored events.
Performs other related duties as assigned within the same classification or lower.
Lead Worker Duties/Responsibilities
Train employees
Direct the work of employees
Provide feedback to assist the supervisor’s assessment of the employee’s performance
Plan the work
Instruct employees in specific techniques and technical methods to use
Perform same type of work as employees the Lead Worker is assigned to lead","Employee must retain active licenses, certifications, and enrollment as a condition of employment.
Hold or be eligible for Educator Certification: Advanced Professional Certificate (APC) issued by Maryland State Department of Education (MSDE) required.
Hold or be eligible for Driver's License (DL) Class C Non-Commercial issued by Maryland or State of Legal Residence (MVA/DMV) required.
Daily access to reliable transportation.
Driving Requirements
Driving is required to conduct bona fide Board business that is within the scope of employment in this position","Knowledge of school organization, curriculum, teaching techniques; current trends, research and materials of instruction in field of specialization.
Demonstrates leadership qualities as a member of an instructional staff.
Ability to work effectively with grade levels, pre-k through 12 and collaborate with other disciplines to develop comprehensive program for students.
Ability to communicate effectively, both verbally and in written form with professional colleagues, staff, students, and parents.
Demonstrates proficiency in data analysis, assessment, curriculum, instruction, building teacher capacity, and professional development methods.
Ability to employ technology into instruction and professional development such as document cameras, projectors, and Smart Boards, etc.
Demonstrated ability to effectively work and communicate with diverse populations.
Demonstrated proficiency with business technology applications (e.g. Video/Web Conferencing, Microsoft Office Suite - Word, Excel, Outlook, and/or PowerPoint preferred)."
Teacher,"*The teacher builds strong relationships with students and families while delivering engaging instruction in math, ELA, science, and social studies through place-based and nature-based learning aligned to state standards. This role tracks and supports individual student progress, implements IEPs, conducts assessments, and collaborates with colleagues and families to ensure student growth. The teacher also maintains a safe and positive classroom environment, participates in professional development, and actively models the school�s values.","Bachelor's Degree from an accredited university, preferred","Experience with or willingness to learn more about:
-Place-Based Education
-Emergent Curriculum
-Nature-based Curriculum
-Differentiated Curriculum
-Alternative educational frameworks in a public school setting
-Positive discipline and positive behavior supports","Nurture relationships with each student and family
-Guide student learning in math, ELA, and project-based science and social studies Fieldwork experiences
-Monitor and guide students in goal setting and organization
-Work with the Administrative Team to develop curriculum
-Adapt place-based & nature-based methods and curriculum to the New Hampshire State Standards and vice versa
-Partner with colleagues, administration, and families to meet the needs of students
-Observe and track student progress, keep records, and work with the learning coordinator to maintain individualized learning plans and to complete progress reports
-Conduct assessments
-Implement Individualized Education Plans
-Lead conferences with families
-Participate in professional development, including training in Place-based education
-Maintain a safe, respectful, positive, organized, and clean classroom environment
-Facilitate student discussions regarding safety and appropriate behavior within the school environment and out in the community
-Act as a mandated reporter for suspicions of neglect, abuse, etc.
-Model Heartwood’s values in visible daily actions
-Fulfill any other responsibilities deemed relevant and necessary to the position","NH teaching license or certification, preferred
Certification in CPR and First Aid (or willingness to obtain)","Competence in teaching, classroom management, and all related responsibilities
-Enthusiastic, creative, and loving authority with students
-Ability to work collaboratively with colleagues, administration, and families
-Ability to collaborate with local businesses, individuals, and community partners to plan and coordinate activities and learning experiences"
Columbia Superintendent,"Superintendent  serves as the chief executive officer for the operation and control of all schools, agencies and activities under the jurisdiction of the Columbia Board of Education.  This individual should believe in the following compelling purpose: Every child will graduate college-, career-, and life-ready. To accomplish this, candidates for this position must believe in high-level collaboration and shared leadership, and they must have a history of leading with empathy, compassion, and a growth mindset.",Educational Specialist Degree; Doctorate Degree in Education and Administration Preferred,a minimum of three years’ successful district leadership experience. ,"In collaboration with administrators, principals and educators, the assistant superintendents, administrators, teachers, staff, students, community stakeholders, partners in education and the Board of Education, this position will provide strategic leadership to inspire, achieve and maintain a shared mission and vision for learning.
Develop goals, objectives, and priorities for all education programs that support district-wide goals and initiatives.
Work with internal and external stakeholders to establish programs and activities that support the district and school vision, mission, values, and goals.
Work with stakeholders to develop long-range goals through a comprehensive school improvement plan.
Develop, support and collaboratively work with the Columbia School Board, administrators, partners and advisory groups.
Continue the commitment and work towards inclusive and equitable educational access
Maintain positive community and parent relations which promote active engagement and personal investment in diversity, equity, and inclusion.
Serve as the liaison and partner between the school district and the news media for district issues.
Provide district-wide leadership to ensure quality educational/instructional programs dedicated to improving performance and enabling children to meet their personal, academic, career, and life-ready goals.
Provide leadership and support to the building administrators to ensure instructional leadership is effective throughout the district.
Continue to evaluate and monitor the goals and performance measure of initiatives implemented and make determinations about future directions.
Recruit, attract, develop, and retain highly qualified staff to carry out the district's mission, goals, and objectives.
Ensure a positive, collaborative and educational environment dedicated to student success, inclusivity and effective performance of all school personnel.
Conduct annual performance-based evaluations of direct reports. Ensure effective employee development and feedback, motivation, conflict resolution, and a culture dedicated to deep learning and improvement of professional practice.
Provide supervision and leadership to cabinet level personnel and various other direct reports on the daily operations of the district.
Effectively manage school resources including operations and financial.
Work directly with the CFO and keep the board and public up to date on long-range and five-year plan.
Oversee compliance with district policies, DESE reporting requirements and legal regulations.
Work with CFO to manage and monitor budgets. 
Collaborate with the Board of Education and the CFO and long-range planning regarding bond and levy discussions and promotions.
Perform other duties as necessary to support the mission and vision of Columbia Public School District.

 ",possess or be eligible for a Superintendent’s Certificate;,
Bus Driver- Special Education,"The incumbent of this position shall operate a school bus in a safe fashion to ensure children are transported safely and efficiently to and from school. The driver will also be required to attend training sessions related to special needs transportation and work directly with students with special needs, supporting their individual requirements and ensuring their safety and comfort while on the bus.",,,"Service, inspect, and clean school buses and related equipment as required by state and district policy.
Attend professional development required for the position
Maintain control of student passengers as related to safety, including special needs students, and report unsafe acts or conditions that require the attention of any person other than the driver.
Complete forms, records, and reports as required by state or local school district policies.
Successfully complete school bus driver training programs and courses established by the state superintendent of public instruction or the school district, including training focused on special needs transportation.
Operate a school bus in accordance with the laws of the State of Washington and policies promulgated by the superintendent of public instruction.
Perform other school bus driver-related duties as directed by local school district policies.
Operate and service all school bus equipment and accessories, including but not limited to: fire extinguishers, highway warning kits, snow chains, sanders, first aid kits, etc.
Perform required operational and safety inspections of the school bus and all related equipment.
Clean and service the school bus to include interior/exterior sweeping and washing; installation of fuel, oil, and coolant; tire inflation, etc.
Operate all hand and foot controls installed in a school bus as required by Washington State or district school bus specifications.
Perform basic first aid as appropriate, which may include CPR.
Legible, timely, and accurate completion of forms, records, time sheets, trip requests, route studies, trouble reports, misconduct reports, accident reports, and other clerical-type activities as may be required.",Minimum age of 21 years; possess a valid Washington state school bus driver’s certificate; possess a valid state driver’s permit with the appropriate endorsement; ,"Sufficient command of the English language to communicate with students, parents, district staff members, and concerned individuals regarding all aspects of their job-related activities. Some Spanish preferred.
Must possess sufficient strength and agility to assist ill or physically impaired students, including those with special needs, to enter or exit a school bus through the passenger service door.
Sufficient strength and agility to move about in an overturned bus as required to provide assistance to students in evacuating the bus.
Hearing capability must be sufficient to detect and distinguish traffic sounds occurring from any direction outside the bus, such as horns, whistles, sirens, trains, bells, etc., from a distance which will allow adequate time for defensive or evasive action to avoid a hazardous situation.
Vision – 20/40 in the best eye, with or without correction; approximately 140 degrees peripheral vision, which as a single criterion shall not be excluding; and depth perception adequate to reasonably determine distance and closing rate of other moving vehicles from a stationary or moving school bus; eye coordination to avoid diplopia; color vision must be adequate to distinguish the colors of red, green, and amber of a traffic light.
Be approved by the district bus driver trainer to drive the bus competently."
